target_id	length	eff_length	est_counts	tpm
NODE_18234_length_647_cov_2.410473_g13367_i0	647	421.139	13.6766	1.93306
NODE_18329_length_643_cov_2.375850_g13446_i0	643	417.139	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	417.139	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	414.181	4.36437	0.627226
NODE_18772_length_625_cov_2.203509_g13828_i0	625	399.304	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	396.304	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	385.46	0	0
NODE_19273_length_606_cov_2.259528_g14239_i0	606	380.613	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	378.613	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	377.613	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	375.689	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	367.95	6.76204	1.09391
NODE_19756_length_588_cov_4.142589_g14670_i0	588	362.986	0	0
NODE_19903_length_583_cov_2.155303_g14799_i0	583	358.095	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	351.274	0.00047255	8.00745e-05
NODE_20174_length_573_cov_1.536680_g15035_i0	573	348.344	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	345.344	1.9818	0.341586
NODE_20274_length_569_cov_1.729572_g15126_i0	569	344.344	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	332.855	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	317.511	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	317.511	19.7323	3.69922
NODE_21160_length_538_cov_1.801242_g15926_i0	538	314.575	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	311.638	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	310.701	1.70996	0.327594
NODE_21399_length_530_cov_1.898947_g16136_i0	530	306.95	0	0
NODE_21460_length_528_cov_2.236786_g16190_i0	528	304.981	2.37597	0.463726
NODE_21516_length_526_cov_1.815287_g16240_i0	526	302.981	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	297.253	0	0
NODE_22096_length_508_cov_2.240618_g16769_i0	508	285.899	0	0
NODE_22111_length_508_cov_1.598234_g16782_i0	508	285.899	0	0
NODE_22373_length_500_cov_1.802247_g17029_i0	500	278.328	8.02654	1.71658
NODE_22415_length_499_cov_2.009009_g17064_i0	499	277.385	0	0
NODE_22527_length_496_cov_2.156463_g17169_i0	496	274.524	2.70031	0.585497
NODE_22554_length_495_cov_2.556818_g17192_i0	495	273.552	0	0
NODE_22586_length_494_cov_2.097950_g17222_i0	494	272.691	8.53692	1.86347
NODE_22793_length_488_cov_2.503464_g17416_i0	488	266.991	0	0
NODE_23006_length_482_cov_2.629977_g17606_i0	482	261.286	0	0
NODE_23229_length_476_cov_2.408551_g17818_i0	476	255.786	0	0
NODE_23329_length_473_cov_1.889952_g17906_i0	473	253.046	0	0
NODE_23354_length_472_cov_2.052758_g17929_i0	472	252.174	0	0
NODE_23465_length_469_cov_1.925121_g18036_i0	469	249.379	3.88001	0.926115
NODE_23684_length_463_cov_2.272059_g18240_i0	463	243.881	0	0
NODE_24017_length_455_cov_1.792500_g18553_i0	455	236.719	0	0
NODE_24141_length_451_cov_2.108586_g18669_i0	451	233.008	2.61972	0.669231
NODE_24251_length_448_cov_2.445293_g18771_i0	448	230.294	0	0
NODE_24304_length_447_cov_2.193878_g18820_i0	447	229.436	0	0
NODE_24900_length_432_cov_1.949602_g19390_i0	432	215.862	0	0
NODE_24980_length_430_cov_1.616000_g19469_i0	430	214.151	0	0
NODE_25057_length_428_cov_2.302949_g19542_i0	428	212.329	0	0
NODE_25281_length_423_cov_1.589674_g19752_i0	423	207.83	0	0
NODE_25391_length_420_cov_2.246575_g19860_i0	420	205.002	0	0
NODE_25462_length_418_cov_2.217631_g19929_i0	418	203.236	0	0
NODE_25473_length_418_cov_1.831956_g19940_i0	418	203.236	0	0
NODE_25815_length_410_cov_2.169014_g20268_i0	410	196.531	2.14599	0.649962
NODE_25957_length_407_cov_1.633523_g20410_i0	407	193.818	0	0
NODE_26000_length_406_cov_1.407407_g20451_i0	406	192.859	0	0
NODE_26498_length_395_cov_2.008824_g20935_i0	395	183.465	0	0
NODE_26536_length_394_cov_1.616519_g20972_i0	394	182.601	0	0
NODE_26685_length_391_cov_1.351190_g21119_i0	391	179.967	0	0
NODE_26758_length_389_cov_2.047904_g21189_i0	389	178.252	0	0
NODE_26932_length_385_cov_2.081818_g21359_i0	385	174.894	0	0
NODE_26941_length_385_cov_1.887879_g21368_i0	385	174.894	1.95057	0.663862
NODE_27041_length_383_cov_1.896341_g21465_i0	383	173.416	0	0
NODE_27160_length_380_cov_2.267692_g21582_i0	380	170.748	0	0
NODE_27218_length_379_cov_1.700617_g21637_i0	379	169.876	0	0
NODE_27571_length_372_cov_1.981073_g21985_i0	372	163.884	0	0
NODE_27665_length_370_cov_1.812698_g22078_i0	370	162.344	0	0
NODE_27963_length_365_cov_1.645161_g22371_i0	365	158.11	0	0
NODE_28291_length_359_cov_2.299342_g22692_i0	359	153.266	2.08259	0.808816
NODE_28765_length_351_cov_2.351351_g23163_i0	351	147.036	0	0
NODE_28791_length_351_cov_1.692568_g23189_i0	351	147.036	0	0
NODE_29263_length_342_cov_2.505226_g23660_i0	342	140.101	0	0
NODE_29265_length_342_cov_2.369338_g23662_i0	342	140.101	0	0
NODE_29784_length_334_cov_2.017921_g24178_i0	334	133.604	1.56382	0.696719
NODE_29812_length_334_cov_1.401434_g24206_i0	334	133.604	0	0
NODE_29856_length_333_cov_1.956835_g24250_i0	333	132.862	0	0
NODE_29920_length_332_cov_1.935018_g24314_i0	332	132.119	0	0
NODE_29993_length_331_cov_1.590580_g24387_i0	331	131.36	0	0
NODE_30262_length_326_cov_3.132841_g24654_i0	326	127.445	8.94089	4.17589
NODE_30412_length_324_cov_2.066914_g24803_i0	324	125.856	0	0
NODE_30646_length_321_cov_1.917293_g25037_i0	321	123.739	0	0
NODE_30728_length_320_cov_1.532075_g25118_i0	320	122.984	0	0
NODE_30783_length_319_cov_1.405303_g25173_i0	319	122.242	0	0
NODE_31095_length_314_cov_1.521236_g25483_i0	314	118.232	0	0
NODE_31166_length_313_cov_1.151163_g25554_i0	313	117.552	0	0
NODE_31302_length_311_cov_1.640625_g25690_i0	311	116.177	0.38627	0.197908
NODE_31912_length_302_cov_1.659919_g26298_i0	302	109.64	0	0
NODE_32115_length_299_cov_2.450820_g26500_i0	299	107.581	0	0
NODE_32298_length_297_cov_1.764463_g26683_i0	297	106.265	0	0
NODE_32886_length_289_cov_1.662393_g27271_i0	289	100.401	0	0
NODE_33378_length_283_cov_1.614035_g27763_i0	283	96.2988	0	0
NODE_34767_length_266_cov_3.497630_g29151_i0	266	84.9553	0	0
NODE_35557_length_258_cov_1.709360_g29939_i0	258	79.6967	0	0
NODE_35667_length_257_cov_1.524752_g30049_i0	257	79.1016	0	0
NODE_41633_length_204_cov_1.684564_g36013_i0	204	47.7775	2.17328	2.7076
NODE_698_length_4521_cov_32.141329_g540_i0	4521	4294.18	611.055	8.47017
NODE_3725_length_2540_cov_15.145309_g3014_i0	2540	2313.18	0	0
NODE_6305_length_1935_cov_23.545789_g1455_i1	1935	1708.18	0	0
NODE_7343_length_1766_cov_3.712305_g493_i2	1766	1539.18	39.0958	1.51193
NODE_14826_length_995_cov_6.104167_g6769_i1	995	768.182	0	0
NODE_16309_length_902_cov_2.226067_g4634_i1	902	675.25	5.39936	0.475959
NODE_16854_length_869_cov_58.675060_g14026_i0	869	642.382	30.8846	2.86181
NODE_19534_length_741_cov_459.181303_g9409_i1	741	514.503	0	0
NODE_28650_length_465_cov_305.437209_g25029_i0	465	245.606	16.386	3.97123
NODE_29866_length_442_cov_16.280098_g26227_i0	442	224.974	8.36106	2.21219
NODE_34012_length_372_cov_1.433234_g30342_i0	372	163.884	3	1.08962
NODE_46101_length_244_cov_1.363636_g42427_i0	244	70.7971	6.71835	5.64859
NODE_47061_length_237_cov_1.767327_g43387_i0	237	66.4143	4	3.58501
NODE_48124_length_230_cov_1.830769_g44450_i0	230	62.3239	18	17.1914
S72545	674	447.883	2.86858	0.381237
S91058	671	444.883	0	0
S95076	415	200.72	21.5495	6.39056
S110975	409	195.675	0.000235714	7.17037e-05
S124854	293	103.317	2.97989	1.7168
S135682	285	97.6408	14.4574	8.81356
S160639	536	312.606	14.1372	2.69189
S183767	299	107.581	11.4985	6.36207
S204690	584	359.095	1.78334	0.295608
S231095	517	294.402	3.328	0.672876
S331410	612	386.46	19.346	2.97974
S375275	381	171.619	2.43393	0.844179
S388396	423	207.83	12.5873	3.60509
S430403	414	199.93	0	0
S439102	1414	1187.18	19.7449	0.989987
S510438	434	217.682	14.6169	3.99693
S616149	311	116.177	5.47384	2.80457
S664596	1155	928.182	16.4491	1.05488
S664995	781	554.503	3.32953	0.357414
S665376	1053	826.182	5.0551	0.364205
S665579	303	110.399	0	0
S665820	1555	1328.18	5.56247	0.249289
S666550	2168	1941.18	0	0
S666938	736	509.555	8.06627	0.942267
S668958	1000	773.182	4.68338	0.360554
S669034	496	274.524	0	0
S669148	1606	1379.18	9.25159	0.399289
S669802	889	662.317	4.21619	0.378919
S669921	963	736.182	0	0
S670874	1492	1265.18	0	0
S672583	1246	1019.18	1.75389	0.102434
S672879	535	311.638	154.689	29.5461
S673566	777	550.503	11.7888	1.27468
S673877	1101	874.182	0	0
S675467	956	729.182	0	0
S675669	2200	1973.18	39.702	1.19767
S676031	337	136.037	2.63391	1.15249
S676442	1050	823.182	21.4167	1.54863
S676827	432	215.862	0	0
S678126	620	394.343	167.16	25.2319
S678248	2707	2480.18	65.6481	1.57555
S679063	394	182.601	0	0
S679446	693	466.702	3.07249	0.391872
S679633	845	618.444	0	0
S680382	358	152.451	15.2956	5.97215
S680833	1094	867.182	5.86798	0.402782
S681233	416	201.51	17.1361	5.06182
S681799	837	610.444	26.3717	2.57149
S681915	1094	867.182	19.6258	1.34713
S682895	965	738.182	9.23779	0.744898
