Full_TRT,Pop,trt,egg,tad,loc,ind,DateColl,JulDateCol,Date_Hatch,Jul_hatch,Date_AccStart,JulDate_AccStart,Age_Start,outcome,Date_death,Jul_Death,Date_metamorph,Jul_metamorph,time,Cause,MM_total,MM_tail,MM_weight,Final_date,Jul_Final,Final_SVL,Final_weight,observer,,
0-8-WHF-5,WHF,zeroeight,0,8,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,17-Jun,42903,,,42903,n,,,,,,,,,,
4-0-WHF-1,WHF,fourzero,4,0,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,18-Jul,42934.00,42934,,50.89,31.86,0.8,21-Jul,42937.00,19.64,0.51,,,
4-0-WHF-2,WHF,fourzero,4,0,inland,2,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,19-Jul,42935.00,42935,,51,36.29,0.802,22-Jul,42938.00,18.41,0.486,,,
4-0-WHF-3,WHF,fourzero,4,0,inland,3,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,13-Jul,42929.00,42929,,47.21,30.22,0.74,16-Jul,42932.00,17.42,0.473,,,
4-0-WHF-4,WHF,fourzero,4,0,inland,4,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,17-Jul,42933.00,42933,,49.58,27.95,0.691,20-Jul,42936.00,18.5,0.498,,,
4-0-WHF-5,WHF,fourzero,4,0,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,14-Jul,42930.00,42930,,50.96,32.58,0.786,17-Jul,42933.00,19.77,0.492,,,
4-0-WHF-6,WHF,fourzero,4,0,inland,6,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,19-Jul,42935.00,42935,,52.61,35.27,0.759,22-Jul,42938.00,18.74,0.489,,,
4-0-WHF-7,WHF,fourzero,4,0,inland,7,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,,,,,,,,,,,
4-0-WHF-8,WHF,fourzero,4,0,inland,8,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,49.94,36.79,0.711,21-Jul,42937.00,17.43,0.404,,,
4-0-WHF-9,WHF,fourzero,4,0,inland,9,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,15-Jul,42931.00,42931,,49.08,32.76,0.75,18-Jul,42934.00,19.27,0.471,,,
4-0-WHF-10,WHF,fourzero,4,0,inland,10,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,a,,,,,,,,,,
4-4-WHF-1,WHF,fourfour,4,4,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,a,,,,,,,,,,
4-4-WHF-2,WHF,fourfour,4,4,inland,2,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,48.2,30.75,0.637,19-Jul,42935.00,17.1,0.407,,16666666667,
4-4-WHF-3,WHF,fourfour,4,4,inland,3,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,15-Jul,42931.00,42931,,49.04,34.39,0.713,17-Jul,42933.00,17,0.411,,,
4-4-WHF-4,WHF,fourfour,4,4,inland,4,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,17-Jun,42903,,,42903,n,,,,,,,,,,
4-4-WHF-5,WHF,fourfour,4,4,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,13-Jul,42929.00,42929,,40.89,27.41,0.531,15-Jul,42931.00,15.97,0.339,,,
4-4-WHF-6,WHF,fourfour,4,4,inland,6,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,15-Jul,42931.00,42931,,48.72,33.17,0.67,17-Jul,42933.00,18.19,0.421,,,
4-4-WHF-7,WHF,fourfour,4,4,inland,7,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,19-Jul,42935.00,42935,,49.61,33.14,0.641,21-Jul,42937.00,18.76,0.405,,,
4-4-WHF-8,WHF,fourfour,4,4,inland,8,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,49.97,32.84,0.616,18-Jul,42934.00,17.51,0.42,,,
4-4-WHF-9,WHF,fourfour,4,4,inland,9,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,12-Jul,42928.00,42928,,45.16,33.79,0.637,15-Jul,42931.00,17.79,0.443,,,
4-4-WHF-10,WHF,fourfour,4,4,inland,10,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,a,12-Jul,42928,,,42928,,,,,,,,,,,
4-6-WHF-1,WHF,foursix,4,6,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,16-Jul,42932.00,42932,,49.78,34.45,0.833,20-Jul,42936.00,17.98,0.447,,,
4-6-WHF-2,WHF,foursix,4,6,inland,2,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,23-Jul,42939.00,42939,,50.07,32.18,1.002,26-Jul,42942.00,18.62,0.489,,,
4-6-WHF-3,WHF,foursix,4,6,inland,3,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,26-Jul,42942.00,42942,,50.89,31.38,0.732,28-Jul,42944.00,18.64,0.495,,,
4-6-WHF-4,WHF,foursix,4,6,inland,4,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,m,,,20-Jul,42936.00,42936,,53.26,34,0.839,23-Jul,42939.00,19.09,0.46,,,
4-6-WHF-5,WHF,foursix,4,6,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
4-8-WHF-1,WHF,foureight,4,8,inland,1,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,24-Jun,42910,,,42910,n,,,,,,,,,,
4-8-WHF-2,WHF,foureight,4,8,inland,2,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,17-Jun,42903,,,42903,n,,,,,,,,,,
4-8-WHF-3,WHF,foureight,4,8,inland,3,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,24-Jun,42910,,,42910,n,,,,,,,,,,
4-8-WHF-4,WHF,foureight,4,8,inland,4,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,17-Jun,42903,,,42903,n,,,,,,,,,Unsure - maybe wrote label down wrong,
4-8-WHF-5,WHF,foureight,4,8,inland,5,23-May,42878.00,5/29/17,42884.00,2-Jun,42888.00,10.00,d,11-Jun,42897,,,42897,n,,,,,,,,,,
0-0-PWL-1,PWL,zerozero,0,0,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,27-Jul,42943.00,42943,,53.1,37.69,0.756,30-Jul,42946.00,17.54,0.411,,,
0-0-PWL-2,PWL,zerozero,0,0,inland,2,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,7-Jul,42923,,,42923,n,,,,,,,,,,
0-0-PWL-3,PWL,zerozero,0,0,inland,3,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,51.73,35.95,0.65,28-Jul,42944.00,17.89,0.374,,,
0-0-PWL-4,PWL,zerozero,0,0,inland,4,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,24-Jul,42940.00,42940,,53.27,37.53,0.735,27-Jul,42943.00,19.48,0.413,,,
0-0-PWL-5,PWL,zerozero,0,0,inland,5,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,27-Jul,42943.00,42943,,57.01,40.17,0.804,30-Jul,42946.00,18.96,0.412,,,
0-0-PWL-6,PWL,zerozero,0,0,inland,6,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
