day,eggsal,loc,target_sal,survive,dead_perday,ref_surv,alive
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
1,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
2,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
3,4,inland,0,50,0,50,1
4,4,inland,0,48,2,50,0
4,4,inland,0,48,2,50,0
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
4,4,inland,0,48,2,50,1
5,4,inland,0,47,1,48,0
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
5,4,inland,0,47,1,48,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
6,4,inland,0,47,0,47,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
1,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
2,0,inland,0,50,0,50,1
