target_id	length	eff_length	est_counts	tpm
NODE_15990_length_755_cov_1.980000_g11546_i0	755	533.341	0	0
NODE_16366_length_735_cov_2.627941_g11842_i0	735	513.498	0	0
NODE_16385_length_734_cov_2.126657_g11860_i0	734	512.498	8.16178	0.895321
NODE_16406_length_733_cov_2.072271_g11349_i1	733	511.55	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	511.55	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	508.55	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	504.55	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	492.55	0	0
NODE_16934_length_707_cov_2.266871_g11405_i1	707	485.55	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	478.55	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	477.597	67.5133	7.9472
NODE_17339_length_686_cov_1.995246_g12631_i0	686	464.738	0.000395258	4.78144e-05
NODE_17598_length_674_cov_3.061389_g12836_i0	674	452.738	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	451.738	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	449.738	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	442.827	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	438.827	1.58796	0.203439
NODE_18131_length_652_cov_1.986600_g13280_i0	652	430.958	5.06743	0.661058
NODE_18145_length_651_cov_2.723154_g13291_i0	651	430.001	1.76304	0.230504
NODE_18201_length_649_cov_1.909091_g13339_i0	649	428.001	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	426.001	4.48078	0.59133
NODE_18329_length_643_cov_2.375850_g13446_i0	643	422.001	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	422.001	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	419.001	5.71444	0.766735
NODE_18772_length_625_cov_2.203509_g13828_i0	625	404.085	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	401.085	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	390.164	0	0
NODE_19273_length_606_cov_2.259528_g14239_i0	606	385.202	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	383.241	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	382.241	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	380.241	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	372.391	14.0319	2.11838
NODE_19756_length_588_cov_4.142589_g14670_i0	588	367.391	6.2899	0.962503
NODE_19903_length_583_cov_2.155303_g14799_i0	583	362.464	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	355.536	5.21685e-07	8.2492e-08
NODE_20174_length_573_cov_1.536680_g15035_i0	573	352.536	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	349.641	4.99217	0.802701
NODE_20274_length_569_cov_1.729572_g15126_i0	569	348.676	0	0
NODE_20612_length_557_cov_1.958167_g15429_i0	557	336.986	0	0
NODE_21056_length_541_cov_1.927984_g15828_i0	541	321.185	0	0
NODE_21057_length_541_cov_1.897119_g15829_i0	541	321.185	4.7444	0.830449
NODE_21160_length_538_cov_1.801242_g15926_i0	538	318.281	0	0
NODE_21237_length_535_cov_2.545833_g15995_i0	535	315.408	0	0
NODE_21268_length_534_cov_1.555324_g16025_i0	534	314.408	5.81695	1.04013
NODE_21399_length_530_cov_1.898947_g16136_i0	530	310.691	3.31439	0.599739
NODE_21460_length_528_cov_2.236786_g16190_i0	528	308.691	1.82178	0.331788
NODE_21516_length_526_cov_1.815287_g16240_i0	526	306.691	0	0
NODE_21719_length_520_cov_1.716129_g16426_i0	520	300.935	8.7366	1.63214
NODE_22096_length_508_cov_2.240618_g16769_i0	508	289.443	0	0
