target_id	length	eff_length	est_counts	tpm
NODE_16385_length_734_cov_2.126657_g11860_i0	734	512.806	22.356	1.80907
NODE_16406_length_733_cov_2.072271_g11349_i1	733	511.806	0	0
NODE_16407_length_733_cov_2.051622_g11877_i0	733	511.806	0	0
NODE_16471_length_730_cov_1.888889_g11928_i0	730	508.857	0	0
NODE_16542_length_726_cov_2.274218_g11982_i0	726	504.857	0	0
NODE_16790_length_714_cov_1.773900_g12190_i0	714	492.906	0	0
NODE_16934_length_707_cov_2.266871_g11405_i1	707	485.955	0	0
NODE_17061_length_700_cov_2.063566_g11349_i2	700	478.955	0	0
NODE_17073_length_699_cov_8.725155_g12409_i0	699	477.955	180.17	15.6426
NODE_17339_length_686_cov_1.995246_g12631_i0	686	464.955	0	0
NODE_17598_length_674_cov_3.061389_g12836_i0	674	452.955	0	0
NODE_17623_length_673_cov_2.257282_g12858_i0	673	451.955	0	0
NODE_17668_length_671_cov_2.332792_g12892_i0	671	450	0	0
NODE_17845_length_664_cov_1.899836_g13041_i0	664	443.045	0	0
NODE_17949_length_660_cov_1.925620_g13127_i0	660	439.045	0	0
NODE_18131_length_652_cov_1.986600_g13280_i0	652	431.175	1.20213	0.115694
NODE_18145_length_651_cov_2.723154_g13291_i0	651	430.218	3.54821	0.342243
NODE_18201_length_649_cov_1.909091_g13339_i0	649	428.218	0	0
NODE_18234_length_647_cov_2.410473_g13367_i0	647	426.218	5.14216	0.500642
NODE_18329_length_643_cov_2.375850_g13446_i0	643	422.26	0	0
NODE_18334_length_643_cov_1.683673_g13451_i0	643	422.26	0	0
NODE_18401_length_640_cov_2.423932_g13509_i0	640	419.302	0	0
NODE_18772_length_625_cov_2.203509_g13828_i0	625	404.468	0	0
NODE_18838_length_622_cov_2.783069_g13878_i0	622	401.468	0	0
NODE_19143_length_611_cov_2.154676_g14132_i0	611	390.507	4.17654	0.443814
NODE_19273_length_606_cov_2.259528_g14239_i0	606	385.624	0	0
NODE_19328_length_604_cov_1.768670_g14287_i0	604	383.624	0	0
NODE_19355_length_603_cov_1.744526_g14312_i0	603	382.662	0	0
NODE_19409_length_601_cov_2.347985_g14362_i0	601	380.701	0	0
NODE_19645_length_593_cov_2.156134_g14569_i0	593	372.889	3.62685	0.403612
NODE_19756_length_588_cov_4.142589_g14670_i0	588	368.074	10.6709	1.20304
NODE_19903_length_583_cov_2.155303_g14799_i0	583	363.258	0	0
NODE_20074_length_576_cov_2.740883_g14950_i0	576	356.294	0	0
NODE_20174_length_573_cov_1.536680_g15035_i0	573	353.329	0	0
NODE_20245_length_570_cov_1.976699_g15100_i0	570	350.329	4.31865	0.511547
